source_id,task_success_rate,corroboration_score,report_timeliness,handler_confidence,deception_score,ci_flag,reliability_score,behavior_class,scenario_probability
SRC_00001,0.555,0.575,0.783,0.528,0.593,0,0.457,deceptive,0.243
SRC_00002,0.946,0.76,0.676,0.864,0.705,1,0.533,deceptive,0.327
SRC_00003,0.798,0.622,0.979,0.986,0.371,0,0.683,uncertain,0.601
SRC_00004,0.707,0.262,0.531,0.88,0.231,0,0.481,uncertain,0.415
SRC_00005,0.406,0.339,0.753,0.539,0.255,1,0.3,deceptive,0.245
SRC_00006,0.406,0.364,0.82,0.791,0.558,0,0.412,deceptive,0.195
SRC_00007,0.339,0.393,0.895,0.668,0.454,0,0.411,coerced,0.297
SRC_00008,0.889,0.624,0.644,0.843,0.389,0,0.62,uncertain,0.418
SRC_00009,0.709,0.578,0.812,0.406,0.162,1,0.456,deceptive,0.35
SRC_00010,0.781,0.352,0.582,0.74,0.7,0,0.445,deceptive,0.221
SRC_00011,0.314,0.251,0.661,0.834,0.625,0,0.32,deceptive,0.072
SRC_00012,0.96,0.329,0.937,0.825,0.113,0,0.664,uncertain,0.596
SRC_00013,0.866,0.938,0.97,0.965,0.294,0,0.789,uncertain,0.729
SRC_00014,0.444,0.551,0.831,0.34,0.434,0,0.423,coerced,0.373
SRC_00015,0.424,0.851,0.625,0.539,0.363,0,0.491,coerced,0.373
SRC_00016,0.425,0.837,0.892,0.629,0.318,0,0.562,uncertain,0.45
SRC_00017,0.507,0.584,0.416,0.514,0.575,0,0.372,deceptive,0.222
SRC_00018,0.657,0.73,0.462,0.514,0.044,0,0.542,uncertain,0.518
SRC_00019,0.594,0.345,0.797,0.422,0.377,0,0.431,coerced,0.286
SRC_00020,0.498,0.716,0.575,0.861,0.21,1,0.441,deceptive,0.416
SRC_00021,0.716,0.404,0.971,0.927,0.068,0,0.639,uncertain,0.607
SRC_00022,0.395,0.824,0.662,0.357,0.372,0,0.455,coerced,0.329
SRC_00023,0.499,0.263,0.658,0.407,0.137,0,0.388,uncertain,0.325
SRC_00024,0.549,0.78,0.807,0.458,0.207,1,0.459,deceptive,0.525
SRC_00025,0.61,0.275,0.861,0.651,0.406,0,0.461,coerced,0.398
SRC_00026,0.834,0.861,0.685,0.846,0.779,0,0.612,deceptive,0.4
SRC_00027,0.436,0.428,0.528,0.349,0.547,0,0.314,coerced,0.055
SRC_00028,0.65,0.691,0.864,0.739,0.224,1,0.518,deceptive,0.377
SRC_00029,0.703,0.566,0.592,0.403,0.306,0,0.485,uncertain,0.413
SRC_00030,0.332,0.475,0.505,0.97,0.325,1,0.316,deceptive,0.22
SRC_00031,0.713,0.684,0.779,0.92,0.123,0,0.66,uncertain,0.572
SRC_00032,0.416,0.911,0.454,0.955,0.129,0,0.567,uncertain,0.528
SRC_00033,0.344,0.231,0.983,0.373,0.119,0,0.396,uncertain,0.329
SRC_00034,0.945,0.889,0.779,0.637,0.417,0,0.695,uncertain,0.559
SRC_00035,0.957,0.657,0.992,0.414,0.539,0,0.631,uncertain,0.488
SRC_00036,0.85,0.805,0.603,0.714,0.473,0,0.613,uncertain,0.444
SRC_00037,0.507,0.488,0.983,0.461,0.782,0,0.423,deceptive,0.158
SRC_00038,0.366,0.554,0.487,0.832,0.101,0,0.455,uncertain,0.362
SRC_00039,0.765,0.852,0.424,0.744,0.789,1,0.421,deceptive,0.203
SRC_00040,0.599,0.511,0.42,0.694,0.373,0,0.44,coerced,0.268
SRC_00041,0.383,0.601,0.679,0.869,0.175,0,0.505,uncertain,0.571
SRC_00042,0.637,0.215,0.45,0.645,0.755,0,0.318,deceptive,0.176
SRC_00043,0.323,0.319,0.707,0.486,0.375,1,0.235,deceptive,0.177
SRC_00044,0.918,0.681,0.597,0.728,0.278,1,0.533,deceptive,0.419
SRC_00045,0.476,0.738,0.601,0.96,0.171,0,0.566,uncertain,0.481
SRC_00046,0.751,0.637,0.781,0.715,0.214,0,0.616,uncertain,0.492
SRC_00047,0.512,0.307,0.498,0.734,0.783,1,0.223,deceptive,0.119
SRC_00048,0.654,0.534,0.86,0.945,0.243,0,0.607,uncertain,0.613
SRC_00049,0.672,0.466,0.749,0.656,0.782,0,0.449,deceptive,0.287
SRC_00050,0.426,0.572,0.949,0.987,0.264,0,0.569,uncertain,0.497
SRC_00051,0.959,0.853,0.619,0.41,0.185,1,0.558,deceptive,0.492
SRC_00052,0.827,0.782,0.99,0.671,0.147,0,0.72,uncertain,0.709
SRC_00053,0.939,0.263,0.745,0.447,0.329,0,0.514,uncertain,0.512
SRC_00054,0.908,0.868,0.984,0.613,0.189,0,0.75,cooperative,0.735
SRC_00055,0.707,0.554,0.416,0.418,0.558,1,0.313,deceptive,0.118
SRC_00056,0.927,0.758,0.837,0.454,0.192,1,0.574,deceptive,0.488
SRC_00057,0.36,0.305,0.89,0.445,0.668,0,0.329,deceptive,0.185
SRC_00058,0.433,0.703,0.432,0.521,0.667,0,0.37,deceptive,0.16
SRC_00059,0.331,0.377,0.747,0.393,0.228,0,0.368,uncertain,0.287
SRC_00060,0.521,0.529,0.881,0.858,0.603,0,0.503,deceptive,0.428
SRC_00061,0.564,0.213,0.737,0.452,0.686,0,0.335,deceptive,0.148
SRC_00062,0.485,0.314,0.438,0.587,0.472,1,0.229,deceptive,0.032
SRC_00063,0.864,0.269,0.816,0.311,0.293,0,0.492,uncertain,0.563
SRC_00064,0.543,0.38,0.436,0.372,0.353,0,0.348,coerced,0.314
SRC_00065,0.491,0.275,0.89,0.918,0.629,0,0.437,deceptive,0.277
SRC_00066,0.669,0.719,0.426,0.878,0.235,0,0.562,uncertain,0.503
SRC_00067,0.396,0.222,0.482,0.88,0.268,0,0.362,uncertain,0.189
SRC_00068,0.845,0.663,0.565,0.584,0.129,0,0.6,uncertain,0.548
SRC_00069,0.351,0.306,0.78,0.398,0.319,0,0.35,uncertain,0.233
SRC_00070,0.971,0.909,0.986,0.374,0.069,0,0.762,cooperative,0.75
SRC_00071,0.825,0.9,0.471,0.718,0.257,0,0.636,uncertain,0.653
